,number,value,datetime_start,datetime_complete,duration,params_input_scaling,params_leaking_rate,params_ridge,params_spectral_radius,user_attrs_n_folds,user_attrs_n_inits,user_attrs_seeds,user_attrs_top10_accuracy,state
29,29,0.0229002558465341,2023-02-05 19:02:22,2023-02-05 19:08:01,0 days 00:05:39,0.018529095294637792,0.05811849111625624,3.209054295096284e-05,4.676616393360525,3.0,1.0,[69065],0.14785019307246533,COMPLETE
30,30,0.023984147702822645,2023-02-05 19:08:01,2023-02-05 19:13:23,0 days 00:05:22,0.01177767281287295,0.4685662019677692,4.7316380589307235e-06,0.23824605073078345,3.0,1.0,[69065],0.15965274572787527,COMPLETE
31,31,0.02149136990011706,2023-02-05 19:13:23,2023-02-05 19:18:59,0 days 00:05:36,6.8046913669675835,0.026911415904971352,0.0007268063681341725,0.019518779942492577,3.0,1.0,[69065],0.14550996988471254,COMPLETE
32,32,0.02257484912766061,2023-02-05 19:18:59,2023-02-05 19:24:40,0 days 00:05:41,0.0005055383625943415,0.003856709793219403,9.666606195231258e-05,0.0015293436787731439,3.0,1.0,[69065],0.14578139160103182,COMPLETE
33,33,0.020558237797688405,2023-02-05 19:24:40,2023-02-05 19:30:13,0 days 00:05:33,0.00831005350814262,1.457871771443885e-06,1.8082770996778688e-08,0.00010113285266999785,3.0,1.0,[69065],0.11080901584579124,COMPLETE
34,34,0.023732303815445045,2023-02-05 19:30:13,2023-02-05 19:35:39,0 days 00:05:26,0.0002630242843189217,0.00010112827213875047,3.714869333230754e-05,0.018078943526209288,3.0,1.0,[69065],0.15957454755224834,COMPLETE
35,35,0.015225723238101624,2023-02-05 19:35:39,2023-02-05 19:41:10,0 days 00:05:31,11.198685205077032,1.9629939133680103e-06,1.6749202269882155e-08,34.262523914710556,3.0,1.0,[69065],0.11556158928223485,COMPLETE
36,36,0.02105184323308743,2023-02-05 19:41:10,2023-02-05 19:46:31,0 days 00:05:21,0.0003088672367235035,0.04104603577926708,0.00021658555860589964,81.64968812715814,3.0,1.0,[69065],0.1420911913578775,COMPLETE
37,37,0.020077590531733854,2023-02-05 19:46:32,2023-02-05 19:52:03,0 days 00:05:31,11.246223511744923,0.00018451674916530894,2.1569560871641377e-05,0.12172606218562661,3.0,1.0,[69065],0.12150882646236001,COMPLETE
38,38,0.012260653531788594,2023-02-05 19:52:03,2023-02-05 19:57:35,0 days 00:05:32,0.0008200233418388067,1.0336160173074805e-05,2.328076329462731e-08,2.931654337099946,3.0,1.0,[69065],0.10190985643517518,COMPLETE
39,39,0.02306484768498333,2023-02-05 19:57:35,2023-02-05 20:03:10,0 days 00:05:35,0.10915105707460414,0.20797937000708613,9.511297154850796e-06,0.07420631764559141,3.0,1.0,[69065],0.1556168667149241,COMPLETE
40,40,0.021749026232765978,2023-02-05 20:03:10,2023-02-05 20:08:40,0 days 00:05:30,0.0025814519040351772,0.000529000452725994,0.003263660868314951,0.00020463137598065255,3.0,1.0,[69065],0.15020587756281992,COMPLETE
41,41,0.020670688004435587,2023-02-05 20:08:40,2023-02-05 20:14:19,0 days 00:05:39,2.629875337169293,0.002682436564653489,0.003119196167179909,0.0008326410849092193,3.0,1.0,[69065],0.13817004265825478,COMPLETE
42,42,0.021132303324135838,2023-02-05 20:14:19,2023-02-05 20:19:55,0 days 00:05:36,1.113777487406543,0.0043489857293299355,1.379977701006863e-07,0.0017923865604679778,3.0,1.0,[69065],0.13923029369747172,COMPLETE
43,43,0.02372198898419385,2023-02-05 20:19:55,2023-02-05 20:25:25,0 days 00:05:30,0.03481177718391144,0.18614830105750269,0.000306097082757803,49.60126491081175,3.0,1.0,[69065],0.16118658334884797,COMPLETE
44,44,0.02114704481881585,2023-02-05 20:25:25,2023-02-05 20:30:51,0 days 00:05:26,0.0006516825496157459,0.0010303093327587603,8.996756415448044e-07,0.05475253779110388,3.0,1.0,[69065],0.1384227260011007,COMPLETE
45,45,0.02468274384503109,2023-02-05 20:30:51,2023-02-05 20:36:26,0 days 00:05:35,0.2312239871737468,0.36381597625126577,5.503657450595138e-05,3.0762564165053794,3.0,1.0,[69065],0.16382075645133617,COMPLETE
