,number,value,datetime_start,datetime_complete,duration,params_input_scaling,params_leaking_rate,params_ridge,params_spectral_radius,user_attrs_n_folds,user_attrs_n_inits,user_attrs_seeds,user_attrs_top10_accuracy,state
0,0,0.021599573432389788,2023-02-04 14:43:52,2023-02-04 14:46:50,0 days 00:02:58,31.871365494214587,0.35827878348881276,0.0008283816128361322,0.34057909631112715,3,1,[69065],0.14112680551197995,COMPLETE
1,1,0.02010365180831819,2023-02-04 14:46:50,2023-02-04 14:49:46,0 days 00:02:56,0.0009235426978102808,0.00022903648906658658,1.5184848179468492e-08,0.019865303378309888,3,1,[69065],0.13138460889723144,COMPLETE
2,2,0.022000840245230854,2023-02-04 14:49:46,2023-02-04 14:52:44,0 days 00:02:58,0.0015310656163406518,0.2518451096021912,6.585688079197692e-07,0.0011611642946959195,3,1,[69065],0.14400870050336845,COMPLETE
3,3,0.028604791602052,2023-02-04 14:52:44,2023-02-04 14:55:41,0 days 00:02:57,0.00012538070234829052,5.523847098093297e-06,4.4838437318404905e-05,0.6716994172227275,3,1,[69065],0.18195419429598791,COMPLETE
4,4,0.02017659525300977,2023-02-04 14:55:41,2023-02-04 14:58:36,0 days 00:02:55,41.72317330600238,0.03927451416949232,4.473128570818584e-05,1.3511649035660305,3,1,[69065],0.13828071737823364,COMPLETE
5,5,0.021818487623274,2023-02-04 14:58:36,2023-02-04 15:01:38,0 days 00:03:02,5.299069161214692,0.0008526595131296257,1.4234638856589082e-06,0.0002647692032524474,3,1,[69065],0.13109351795248506,COMPLETE
6,6,0.019957776898479232,2023-02-04 15:01:38,2023-02-04 15:04:34,0 days 00:02:56,54.787497390443484,0.00017113828307002937,2.1851036514106376e-05,0.0021239775291299156,3,1,[69065],0.12014750891966912,COMPLETE
7,7,0.022110261402040334,2023-02-04 15:04:34,2023-02-04 15:07:34,0 days 00:03:00,0.6712849791443555,0.018662938786880422,6.041600484574095e-07,51.834002972955645,3,1,[69065],0.14112692530742207,COMPLETE
8,8,0.012332221991017018,2023-02-04 15:07:34,2023-02-04 15:10:40,0 days 00:03:06,2.528452503779895,4.066177315003209e-05,0.006388574608735436,14.702429376168428,3,1,[69065],0.09493526434002357,COMPLETE
9,9,0.020906209393088737,2023-02-04 15:10:40,2023-02-04 15:13:35,0 days 00:02:55,19.145486648793593,0.04035688379069179,1.8117541903413515e-08,2.9464149232875037,3,1,[69065],0.13853603740397047,COMPLETE
10,10,0.02203728201871612,2023-02-04 15:13:35,2023-02-04 15:16:33,0 days 00:02:58,0.011317052927093806,0.061482401796067794,4.0366858693406306e-07,0.1724035825583731,3,1,[69065],0.13984939077428946,COMPLETE
11,11,0.017111353337495024,2023-02-04 15:16:33,2023-02-04 15:19:36,0 days 00:03:03,0.20513427876295745,1.2409518407661182e-05,0.0010742395610695782,0.04897220362008337,3,1,[69065],0.13153002858439045,COMPLETE
12,12,0.020650817490086626,2023-02-04 15:19:37,2023-02-04 15:22:41,0 days 00:03:04,0.18215927662339187,0.0007595071677830258,0.0015965822922800166,0.28427000093566435,3,1,[69065],0.13218763368422615,COMPLETE
13,13,0.021818343868743487,2023-02-04 15:22:41,2023-02-04 15:25:49,0 days 00:03:08,0.3999446104033556,0.002383444169453065,6.618602886177547e-07,0.2946427675073775,3,1,[69065],0.13755087562681467,COMPLETE
14,14,0.02327790757613929,2023-02-04 15:25:49,2023-02-04 15:28:45,0 days 00:02:56,0.0015758241213350795,0.013611598356405366,0.0011899386802926007,0.01749582833953792,3,1,[69065],0.1542978831067223,COMPLETE
15,15,0.012988365586459187,2023-02-04 15:28:45,2023-02-04 15:31:53,0 days 00:03:08,0.6663849454964772,5.73038065666172e-06,7.951144950630428e-06,9.28942340241003,3,1,[69065],0.09464362233624352,COMPLETE
16,16,0.021562975924829798,2023-02-04 15:31:53,2023-02-04 15:34:56,0 days 00:03:03,0.0882575081287143,0.0004077151111544006,0.008639131267439799,0.19401709791912553,3,1,[69065],0.13922965301369994,COMPLETE
17,17,0.017950640204811873,2023-02-04 15:34:56,2023-02-04 15:38:00,0 days 00:03:04,5.130892093629565,7.51190862775417e-06,8.536118912612816e-07,0.6369095660943174,3,1,[69065],0.11554949630209439,COMPLETE
18,18,0.02758339170366249,2023-02-04 15:38:00,2023-02-04 15:41:00,0 days 00:03:00,0.000509649469563124,3.216705667542778e-05,4.8583833435061456e-05,0.00011837254772277898,3,1,[69065],0.17885291791149105,COMPLETE
19,19,0.020322697774188703,2023-02-04 15:41:00,2023-02-04 15:44:01,0 days 00:03:01,13.378859979333217,0.0002593040478033944,1.623165341197308e-08,0.13108064438724115,3,1,[69065],0.12153416512100597,COMPLETE
20,20,0.021636230837670828,2023-02-04 15:44:01,2023-02-04 15:47:02,0 days 00:03:01,0.015483777880816712,0.6705611715307761,2.3388529934654472e-07,40.06417428314426,3,1,[69065],0.13849988313954623,COMPLETE
21,21,0.02065104510142661,2023-02-04 15:47:02,2023-02-04 15:50:04,0 days 00:03:02,0.07612664320942204,0.0037868706689594958,3.687471729149869e-07,0.10661886738649123,3,1,[69065],0.13605504983909675,COMPLETE
22,22,0.021380659241505572,2023-02-04 15:50:04,2023-02-04 15:53:10,0 days 00:03:06,0.8925461454033887,0.0005908404821143175,0.00018850138996478216,0.3707846631098764,3,1,[69065],0.1294512062981735,COMPLETE
23,23,0.02189147898614242,2023-02-04 15:53:10,2023-02-04 15:56:07,0 days 00:02:57,48.372076919536234,0.0008640356534564903,5.0581272612227105e-08,0.008023140842642544,3,1,[69065],0.13083782656087772,COMPLETE
24,24,0.02207365191493613,2023-02-04 15:56:07,2023-02-04 15:59:12,0 days 00:03:05,0.3566230798617809,0.04502916198832477,8.007730053731845e-06,3.4617601043637727,3,1,[69065],0.13926589113493365,COMPLETE
25,25,0.0267805226507425,2023-02-04 15:59:12,2023-02-04 16:02:09,0 days 00:02:57,0.000611773180367933,3.69542243813635e-05,7.378493307220691e-06,0.04173871365797164,3,1,[69065],0.17009631433748984,COMPLETE
26,26,0.02608755393640036,2023-02-04 16:02:09,2023-02-04 16:05:06,0 days 00:02:57,70.24220587685981,2.7185467212477998e-06,0.008522103509548538,0.0006776044661309181,3,1,[69065],0.14787634426957905,COMPLETE
27,27,0.02123449682260559,2023-02-04 16:05:06,2023-02-04 16:08:09,0 days 00:03:03,8.541248370545068,0.012471999758047978,0.007539428500372268,0.023172689529258824,3,1,[69065],0.13937537218946416,COMPLETE
28,28,0.015579816528488616,2023-02-04 16:08:09,2023-02-04 16:11:14,0 days 00:03:05,0.8126459493638202,6.381344524241521e-05,1.453912731638026e-07,13.456632123461421,3,1,[69065],0.1048605443289257,COMPLETE
29,29,0.02181828397102244,2023-02-04 16:11:14,2023-02-04 16:14:21,0 days 00:03:07,0.018529095294637792,0.05811849111625624,3.209054295096284e-05,4.676616393360525,3,1,[69065],0.1421846112452221,COMPLETE
30,30,0.019848164068962403,2023-02-04 16:14:21,2023-02-04 16:17:19,0 days 00:02:58,0.01177767281287295,0.4685662019677692,4.7316380589307235e-06,0.23824605073078345,3,1,[69065],0.13919277997662313,COMPLETE
31,31,0.020906221372632944,2023-02-04 16:17:19,2023-02-04 16:20:24,0 days 00:03:05,6.8046913669675835,0.026911415904971352,0.0007268063681341725,0.019518779942492577,3,1,[69065],0.13714956089579677,COMPLETE
32,32,0.023861838479086652,2023-02-04 16:20:24,2023-02-04 16:23:23,0 days 00:02:59,0.0005055383625943415,0.003856709793219403,9.666606195231258e-05,0.0015293436787731439,3,1,[69065],0.1590048137402497,COMPLETE
33,33,0.017986950203310835,2023-02-04 16:23:23,2023-02-04 16:26:18,0 days 00:02:55,0.00831005350814262,1.457871771443885e-06,1.8082770996778688e-08,0.00010113285266999785,3,1,[69065],0.11533086962027121,COMPLETE
